video_id,channel_title,video_title,upload_date,view_count,like_count,dislike_count,comment_count
hLKmFQtbLUc,小高姐的 Magic Ingredients,焦糖 / 老糖 Sponge Toffee,2019-03-01,439773,11704,,986
YNzGZMLWY_Q,小高姐的 Magic Ingredients,巧克力冰淇淋 Chocolate Ice Cream,2019-02-22,556612,10042,,589
t-pop_dGsgc,小高姐的 Magic Ingredients,芝麻汤圆 Sweet Rice Dumplings 简单手法包汤圆,2019-02-15,2498718,43439,,1706
tRLYIYClKnQ,小高姐的 Magic Ingredients,拔丝地瓜 Basi Sweet Potatos 两种熬糖浆方法，哪个会胜出？,2019-02-08,525469,9393,,579
3GeG8wzJXdU,小高姐的 Magic Ingredients,烤鱼  BBQ Fish 从鱼背开鱼的方法和步骤,2019-01-31,2524138,28832,,1348
HRa-at77s4A,小高姐的 Magic Ingredients,烧牛尾 Oxtail Stew,2019-01-25,1266811,20539,,1365
50vc67EXTwk,小高姐的 Magic Ingredients,葱油曲奇 Savory Butter Cookies 酥得掉渣 入口即化 还美的像花儿,2019-01-18,904905,15692,,1294
lJBecnsQ0vo,小高姐的 Magic Ingredients,芥菜炒黄豆 Vegetable Stir Fry with Soybeans  超级下饭家常菜,2019-01-10,165760,4541,,454
kg6dm8535TI,小高姐的 Magic Ingredients,鸡肉煎饺 Chicken Dumplings,2018-12-31,3640635,95562,,4346
HV-vaC7nDlo,小高姐的 Magic Ingredients,轻乳酪蛋糕 Cotton Cheese Cake,2018-12-27,5501287,81897,,2911
UufMjnYZcI8,小高姐的 Magic Ingredients,巧克力戚风蛋糕 Chocolate Chiffon Cake,2018-12-18,2589220,37906,,2219
amdln95X4hs,小高姐的 Magic Ingredients,小苏打和泡打粉的区别 Baking Soda vs Baking Powder,2018-12-12,1324518,17248,,749
nYQ5uc6plCs,小高姐的 Magic Ingredients,戚风蛋糕 Chiffon Cake,2018-12-05,4429728,57275,,4858
O3F3BmcL8sI,小高姐的 Magic Ingredients,蛋黄酱 /美乃滋 Mayonnaise 神奇就在眼前 液态油瞬间变固体,2018-11-28,590158,10801,,970
B8-4GHFjhDY,小高姐的 Magic Ingredients,小苏打和食用碱面的区别 Baking Soda vs Soda Ash,2018-11-22,692510,14583,,970
0WTVjgDHQE0,小高姐的 Magic Ingredients,香甜松软的早餐饼干 简单快捷 无需揉面 Cream Biscuits / Scones,2018-11-19,832070,14913,,985
